ID,documentNumber,date,time,merchantRaw,merchantNorm,amount,currency,category_code,categoryConfidence,moment,momentConfidence,paidBy_ID,event_ID,status,source,note,place,lat,lon,group_ID
e0000000-0000-4000-8000-000000000001,1,2024-06-15,19:30:00,The place where it started,the place where it started,0.00,CHF,Dining,1.0000,date_night,1.0000,a0000000-0000-4000-8000-000000000001,,confirmed,manual,Document #1. Everything since has been a follow-up posting.,The place where it started,,,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000002,2,2026-01-11,11:20:00,MIGROS ZÜRICH HB,migros zuerich hb,87.45,CHF,Groceries,0.9914,everyday,0.9683,a0000000-0000-4000-8000-000000000001,,confirmed,scan,,Zürich,47.3779,8.5403,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000003,3,2026-01-17,20:10:00,RESTAURANT BLAUE ENTE,restaurant blaue ente,148.50,CHF,Dining,0.9871,date_night,0.8642,b0000000-0000-4000-8000-000000000002,,confirmed,scan,"Corner table, the one by the window.",Zürich,47.3565,8.5626,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000004,4,2026-02-05,07:45:00,SBB CFF FFS BILLETT,sbb cff ffs billett,42.00,CHF,Transport,0.9788,everyday,0.9521,b0000000-0000-4000-8000-000000000002,,confirmed,import,,Zürich,,,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000005,5,2026-02-14,18:20:00,GLOBUS DELICATESSA,globus delicatessa,96.00,CHF,Gifts,0.9342,gift,0.9107,a0000000-0000-4000-8000-000000000001,,confirmed,scan,A gift. The receipt is not the point.,Zürich,47.3720,8.5387,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000006,6,2026-03-07,18:40:00,KINO ABATON,kino abaton,44.00,CHF,Entertainment,0.9655,date_night,0.8033,a0000000-0000-4000-8000-000000000001,,confirmed,scan,,Zürich,47.3898,8.5182,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000007,7,2026-03-19,10:00:00,NETFLIX.COM,netflix com,24.90,CHF,Subscriptions,0.9962,everyday,0.9874,b0000000-0000-4000-8000-000000000002,,confirmed,import,,,,,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000008,8,2026-04-10,08:30:00,SWISS INTERNATIONAL AIR LINES,swiss international air lines,612.00,CHF,Travel,0.9893,trip,0.9412,b0000000-0000-4000-8000-000000000002,f0000000-0000-4000-8000-000000000001,confirmed,import,"Flights out. Booked late, as usual.",Zürich,47.4515,8.5646,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000009,9,2026-04-11,21:05:00,HOTEL DA BAIXA LISBOA,hotel da baixa lisboa,384.00,CHF,Travel,0.9721,trip,0.9566,b0000000-0000-4000-8000-000000000002,f0000000-0000-4000-8000-000000000001,confirmed,scan,,Lisboa,38.7101,-9.1360,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000010,10,2026-04-13,13:10:00,PASTEIS DE BELEM,pasteis de belem,22.40,CHF,Cafes,0.9584,trip,0.8871,a0000000-0000-4000-8000-000000000001,f0000000-0000-4000-8000-000000000001,confirmed,scan,Six of them. No regrets.,Lisboa,38.6975,-9.2033,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000011,11,2026-05-09,19:50:00,ZUERI WEST BAR,zueri west bar,76.00,CHF,Dining,0.9209,date_night,0.8394,b0000000-0000-4000-8000-000000000002,,confirmed,scan,,Zürich,47.3886,8.5171,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000012,12,2026-05-23,15:30:00,APOTHEKE ZUR ROSE,apotheke zur rose,58.20,CHF,Health,0.9737,everyday,0.9612,a0000000-0000-4000-8000-000000000001,,confirmed,scan,,Zürich,,,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000013,13,2026-06-06,11:45:00,DENNER SATELLIT,denner satellit,61.35,CHF,Groceries,0.9846,everyday,0.9705,b0000000-0000-4000-8000-000000000002,,confirmed,scan,,Zürich,,,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000014,14,2026-06-15,20:45:00,RESTAURANT KRONENHALLE,restaurant kronenhalle,214.00,CHF,Dining,0.9902,date_night,0.9184,a0000000-0000-4000-8000-000000000001,f0000000-0000-4000-8000-000000000002,confirmed,scan,Two years since document #1.,Zürich,47.3667,8.5450,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000015,15,2026-07-04,09:15:00,SPOTIFY AB,spotify ab,19.90,CHF,Subscriptions,0.9948,everyday,0.9831,a0000000-0000-4000-8000-000000000001,,confirmed,import,,,,,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000016,16,2026-07-11,12:30:00,CAFÉ SPRÜNGLI,cafe spruengli,18.60,CHF,Cafes,0.9673,everyday,0.7418,b0000000-0000-4000-8000-000000000002,,confirmed,scan,,Zürich,47.3696,8.5390,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000017,17,2026-08-08,10:20:00,COOP PRONTO,coop pronto,34.80,CHF,Groceries,0.9891,everyday,0.9752,b0000000-0000-4000-8000-000000000002,,confirmed,scan,,Zürich,,,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000018,18,2026-08-15,16:25:00,IKEA DIETLIKON,ikea dietlikon,213.70,CHF,Home,0.9807,everyday,0.9298,a0000000-0000-4000-8000-000000000001,,confirmed,scan,"Shelf, plus the parts we did not need.",Dietlikon,47.4225,8.6178,g0000000-0000-4000-8000-000000000001
e0000000-0000-4000-8000-000000000019,19,2026-09-01,17:00:00,MANOR GESCHENKE,manor geschenke,120.00,CHF,Gifts,0.9128,gift,0.8956,b0000000-0000-4000-8000-000000000002,,confirmed,scan,,Zürich,47.3760,8.5390,g0000000-0000-4000-8000-000000000001
