event_ID,person_ID
f0000000-0000-4000-8000-000000000001,a0000000-0000-4000-8000-000000000001
f0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000002
f0000000-0000-4000-8000-000000000001,c0000000-0000-4000-8000-000000000003
f0000000-0000-4000-8000-000000000001,c0000000-0000-4000-8000-000000000004
f0000000-0000-4000-8000-000000000002,a0000000-0000-4000-8000-000000000001
f0000000-0000-4000-8000-000000000002,b0000000-0000-4000-8000-000000000002
f0000000-0000-4000-8000-000000000002,c0000000-0000-4000-8000-000000000005
f0000000-0000-4000-8000-000000000003,a0000000-0000-4000-8000-000000000001
f0000000-0000-4000-8000-000000000003,b0000000-0000-4000-8000-000000000002
f0000000-0000-4000-8000-000000000003,c0000000-0000-4000-8000-000000000003
f0000000-0000-4000-8000-000000000004,a0000000-0000-4000-8000-000000000001
f0000000-0000-4000-8000-000000000004,b0000000-0000-4000-8000-000000000002
